DESTINATION,IATA_CODE,AIRLINE,AIRCRAFT,DATETIME,DEPART_TIME,DEPART_DATETIME,DELAY_MINUTES,WEATHER,TEMP,DEST_CODE,AIRLINE_CODE,AIRCRAFT_CODE
La Rochelle,LRH,Jetfly Aviation,PC12,2025-04-28 09:00:00,09:14,2025-04-28 09:14:00,14,2,11.9,85,63,53
Hamburg,HAM,Eurowings,A320,2025-04-28 09:05:00,09:16,2025-04-28 09:16:00,11,2,11.9,69,45,3
Berlin,BER,Eurowings,A20N,2025-04-28 09:05:00,09:21,2025-04-28 09:21:00,16,2,11.9,18,45,0
Milan,MXP,Swiss,A320,2025-04-28 09:00:00,09:18,2025-04-28 09:18:00,18,2,11.9,108,88,3
Thessaloniki,SKG,Aegean Airlines,A320,2025-04-28 09:15:00,10:52,2025-04-28 10:52:00,97,2,11.9,167,2,3
Amsterdam,AMS,KLM,E190,2025-04-28 09:20:00,09:58,2025-04-28 09:58:00,38,2,11.9,5,65,41
Alicante,ALC,Swiss,BCS3,2025-04-28 09:20:00,09:46,2025-04-28 09:46:00,26,2,11.9,3,88,24
Athens,ATH,Air Baltic,BCS3,2025-04-28 09:25:00,09:53,2025-04-28 09:53:00,28,2,11.9,8,5,24
Geneva,GVA,Swiss,A320,2025-04-28 09:10:00,09:32,2025-04-28 09:32:00,22,2,11.9,65,88,3
London,LHR,Swiss,A20N,2025-04-28 10:30:00,11:02,2025-04-28 11:02:00,32,2,13.8,92,88,0
Istanbul,IST,Turkish Airlines,A333,2025-04-28 10:50:00,10:59,2025-04-28 10:59:00,9,2,13.8,76,93,6
Dublin,DUB,Swiss,A321,2025-04-28 10:50:00,11:27,2025-04-28 11:27:00,37,2,13.8,53,88,4
Helsinki,HEL,Finnair,A321,2025-04-28 10:50:00,10:50,2025-04-28 10:50:00,0,2,13.8,71,47,4
Antalya,AYT,Pegasus,A20N,2025-04-28 10:45:00,10:56,2025-04-28 10:56:00,11,2,13.8,6,76,0
Vienna,VIE,Austrian Airlines,A320,2025-04-28 10:40:00,10:47,2025-04-28 10:47:00,7,2,13.8,175,19,3
Oslo,OSL,Helvetic Airways,E190,2025-04-28 10:40:00,11:18,2025-04-28 11:18:00,38,2,13.8,122,57,41
Rome,FCO,ITA Airways,BCS3,2025-04-28 10:40:00,10:58,2025-04-28 10:58:00,18,2,13.8,142,58,24
London,LHR,British Airways,A319,2025-04-28 10:35:00,10:54,2025-04-28 10:54:00,19,2,13.8,92,22,2
Algiers,ALG,Air Algerie,B738,2025-04-28 10:30:00,13:00,2025-04-28 13:00:00,150,2,13.8,2,4,14
Warsaw,WAW,LOT,B738,2025-04-28 10:30:00,10:40,2025-04-28 10:40:00,10,2,13.8,177,68,14
London,LTN,easyJet,A320,2025-04-28 10:00:00,10:20,2025-04-28 10:20:00,20,2,13.8,92,98,3
Copenhagen,CPH,SAS,A319,2025-04-28 10:20:00,10:23,2025-04-28 10:23:00,3,2,13.8,45,80,2
Porto,OPO,Swiss,A21N,2025-04-28 10:20:00,10:35,2025-04-28 10:35:00,15,2,13.8,132,88,1
Malaga,AGP,easyJet,A319,2025-04-28 10:10:00,10:36,2025-04-28 10:36:00,26,2,13.8,98,98,2
New York,EWR,United Airlines,B763,2025-04-28 10:10:00,10:31,2025-04-28 10:31:00,21,2,13.8,115,94,16
London,LCY,British Airways,E190,2025-04-28 10:05:00,10:21,2025-04-28 10:21:00,16,2,13.8,92,22,41
